tomato_id,label,class_name,is_cherry,source_file,transit_len,valid_slices,IR1_mean,IR2_mean,Green_mean,Red_mean,Blue_mean,IR3_mean,SAT_mean,HUE_mean,IR1_std,Green_std,Red_std,SAT_std,HUE_std,Red_Green_ratio,IR1_IR2_ratio,IR3_IR2_ratio
tomato_0040,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,3334.75,2718.625,2430.5,2884.125,1371.125,3426.625,6557.75,1457.875,1339.2034679507922,954.3567766526611,1158.2433049974554,240.3418696060141,41.59477130601874,1.1866385468560436,1.2266311049643437,1.2604257620656554
tomato_0041,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,18,7,2246.4285714285716,1705.4285714285713,1195.7142857142858,1846.7142857142858,504.42857142857144,2367.714285714286,9081.57142857143,1056.0,714.0375473654163,358.6231607531385,556.5464084529742,174.93318452374623,18.708286933869708,1.5444444315279438,1.317222307571992,1.3883397472622063
tomato_0042,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,21,8,2606.75,1963.375,1454.25,2101.75,616.5,2771.5,8851.0,1162.75,972.1691137421955,536.8609157474056,782.7244999724634,115.98522073338236,49.195673445073254,1.4452466807959659,1.327688285082125,1.411599916411282
tomato_0043,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,24,9,3310.0,2524.3333333333335,1621.0,2795.3333333333335,626.2222222222222,3512.1111111111113,9784.222222222223,929.3333333333334,1425.4818483586523,717.7368946905266,1167.7885082496744,300.0365718449077,33.7860918130523,1.7244499173897807,1.3112372851793055,1.3913024285744433
tomato_0044,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,18,7,2052.4285714285716,1507.2857142857142,1076.2857142857142,1638.2857142857142,400.85714285714283,2194.714285714286,9436.714285714286,1120.7142857142858,606.9719535373545,299.9214976654804,461.50901554419437,77.49992319504643,16.590301240125065,1.522166165841302,1.3616718704087736,1.4560705049829463
tomato_0045,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,15,6,1434.8333333333333,1105.1666666666667,702.5,1132.5,306.0,1525.8333333333333,9093.666666666666,983.3333333333334,355.61238261155455,153.0630589005721,262.41932093502567,164.0569006981013,17.557524502806956,1.6120996211800767,1.2982958712263983,1.3806363922729326
tomato_0046,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,39,10,3591.1,2763.5,1727.7,2772.7,737.6,3726.2,9267.2,1006.5,1708.7928455166498,851.4027705955494,1355.2845580664355,304.565555796741,43.20815252292609,1.6048503698278034,1.2994752983554358,1.3483625788009312
tomato_0047,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,18,7,1741.857142857143,1340.857142857143,698.1428571428571,1439.4285714285713,249.71428571428572,1864.7142857142858,10277.57142857143,783.2857142857143,530.9772212852539,197.91279946096512,432.63682118795555,325.13835882736504,84.69890649769194,2.061796573700479,1.2990624237231654,1.3906882487376755
tomato_0048,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,33,8,2679.625,1968.625,1102.375,1779.75,438.375,2768.875,9443.875,1019.5,860.5225883147984,335.95617805218075,530.5384730899084,269.0790842325515,78.78542287214594,1.614468745985089,1.3611657813897224,1.4065019929824014
tomato_0049,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,30,11,3662.2727272727275,2705.7272727272725,1961.2727272727273,2565.6363636363635,845.2727272727273,3836.181818181818,8497.727272727272,1328.5454545454545,1685.590584389287,913.7623422869966,1122.8978825100057,563.5148784032399,146.67471740989558,1.3081486908363607,1.3535261852337508,1.417800619697004
tomato_0050,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,12,5,1603.4,1215.6,959.2,1359.6,401.0,1722.0,8804.0,1194.0,398.75907513183944,216.12311306290218,294.00731283422186,166.35804759614126,31.304951684997057,1.417431177883328,1.3190194034302454,1.4165843911106912
tomato_0051,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,30,7,3244.285714285714,2497.5714285714284,2018.5714285714287,2449.8571428571427,990.1428571428571,3359.1428571428573,7560.714285714285,1458.0,1214.182401767504,775.0244850202814,931.5673939784548,445.01712112596084,40.414518843273804,1.2136588757992837,1.298976143057351,1.3449636736173736
tomato_0052,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,12,5,1413.2,1080.2,877.8,1031.4,459.2,1473.6,6930.8,1499.6,266.19673176055335,165.73382273995855,190.75586491638992,131.57773367861296,28.80624932197873,1.174982898439475,1.308276233028363,1.3641918037012422
tomato_0053,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,24,9,3361.0,2526.3333333333335,2102.777777777778,2673.222222222222,995.8888888888889,3504.4444444444443,7988.333333333333,1380.7777777777778,1646.0775346258754,1028.2224683620002,1294.758546774048,604.3326898323472,119.88200217065298,1.2712813677983976,1.3303865892714608,1.3871662873358415
tomato_0054,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,21,8,2821.125,2232.375,1281.0,2270.625,568.125,2957.0,9391.875,867.625,1197.0260096828067,530.6607740759224,958.1241997480583,213.9709175832748,64.11359895863413,1.7725409697693915,1.2637325661515981,1.3245982358492714
tomato_0055,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,9,4,1339.75,1063.25,581.5,1143.0,268.0,1432.25,9562.0,728.5,148.12466596305515,59.410997859543365,136.52106064633398,75.5733639143669,63.35350555941373,1.9656061570832992,1.2600517163409197,1.3470491291131048
tomato_0056,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,24,9,3316.6666666666665,2493.5555555555557,1984.7777777777778,2509.0,843.8888888888889,3449.4444444444443,8375.555555555555,1396.111111111111,1480.1465299084412,880.1908568284747,1073.8623049534797,366.13321042726756,45.11220578857911,1.2641213618221507,1.3300953515859288,1.3833437249576268
tomato_0057,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,12,5,1557.0,1162.8,1004.8,1390.8,423.4,1677.2,8684.6,1222.0,254.42484155443626,161.34187305222412,213.55374030908473,129.48088662038114,29.283100928692644,1.3841560371799757,1.339009276410309,1.4423804485519398
tomato_0058,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,21,8,1781.625,1382.875,985.125,1312.625,425.25,1819.125,8426.75,1288.75,618.5344285370979,331.449387431281,434.87697357167247,233.1209067047766,53.84833198106379,1.3324451076518706,1.2883485399016648,1.3154659581273365
tomato_0059,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,24,9,3133.5555555555557,2386.3333333333335,1725.3333333333333,2352.1111111111113,758.1111111111111,3233.1111111111113,8580.222222222223,1246.0,1213.1148040386688,685.0364953781659,912.0690001919323,347.2480301520002,20.80264406271472,1.363279229604899,1.3131256638179767,1.354844711927363
tomato_0060,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,30,11,3105.2727272727275,2335.5454545454545,1518.6363636363637,2481.090909090909,678.7272727272727,3263.090909090909,9151.636363636364,984.3636363636364,1436.2623082786158,712.5795776932247,1160.8654921691361,555.7843597524624,163.12159435664717,1.6337623358447255,1.3295706610777014,1.3971429623725924
tomato_0061,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,15,6,1581.0,1145.0,805.6666666666666,1138.1666666666667,360.8333333333333,1703.6666666666667,8530.0,1180.0,285.4694379438892,142.89110072592578,188.37135309453683,248.39323662290002,130.10303609063087,1.4127016787831816,1.3807860141416068,1.4879184731768402
tomato_0062,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,24,9,3514.5555555555557,2587.5555555555557,1653.2222222222222,2261.8888888888887,674.3333333333334,3580.777777777778,8947.333333333334,1268.888888888889,1635.87309342069,776.5149351071391,1030.653244845768,480.5926029393295,52.39142211384523,1.3681698956156132,1.3582531723530236,1.3838457521235779
tomato_0063,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,12,5,1322.0,976.0,634.8,794.6,266.8,1375.4,8278.6,1430.0,236.93036951813502,109.23232122407727,131.6142089593673,298.80729576099714,38.34057902536163,1.251732809519017,1.354508182843154,1.409221297036667
tomato_0064,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,27,10,3207.2,2467.8,1550.7,2674.0,662.8,3394.4,9521.9,923.1,1640.76999539173,812.0032909073981,1408.438457614989,446.0001121076092,69.69210062043538,1.7243825257987841,1.2996190886635093,1.375476127014036
tomato_0065,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,15,6,1523.0,1182.3333333333333,800.3333333333334,1176.3333333333333,337.1666666666667,1620.8333333333333,8907.166666666666,1127.8333333333333,393.4102184743045,186.37775260654547,267.8564292053985,108.11922431587578,28.805670738010367,1.4698042298650034,1.2881308038782284,1.3708767856988149
tomato_0066,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,27,10,3189.5,2287.6,1381.1,1892.3,523.1,3311.0,9149.2,1301.6,1508.2890417069711,699.4303158047031,933.59473125239,404.9438369837367,219.73124999012367,1.370139733761931,1.3942559827143906,1.4473684147256145
tomato_0067,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,9,4,1121.0,820.0,490.0,603.0,197.0,1111.5,8389.0,1492.75,196.8366497039275,54.49770637375485,70.13795928976928,326.8210519535117,28.17061116364594,1.2306122197834242,1.3670731540600836,1.3554877883477099
tomato_0068,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,15,6,1650.5,1196.0,792.6666666666666,1290.0,294.6666666666667,1763.3333333333333,9619.833333333334,1029.3333333333333,416.1205354221298,189.2803916592172,317.4347176979859,123.55632993362448,18.07392228230128,1.6274179777869895,1.3800167108694255,1.4743589620315583
tomato_0069,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,36,9,3416.1111111111113,2555.1111111111113,1714.7777777777778,2909.0,754.7777777777778,3714.777777777778,9306.555555555555,929.2222222222222,1490.398725546661,772.363706063694,1337.2650260886958,361.2105034156368,59.40281512221828,1.696429718610855,1.3369716420104605,1.453861535447576
tomato_0070,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,12,5,1570.8,1108.4,638.8,1094.4,254.4,1696.6,9583.4,930.0,251.17464043967496,96.84368848820247,156.50814675281285,269.54276098608176,66.67458286333706,1.7132122461926702,1.4171779013246308,1.5306748328159974
tomato_0071,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,36,9,3416.222222222222,2379.4444444444443,1374.4444444444443,2610.777777777778,612.8888888888889,3633.8888888888887,9700.111111111111,786.5555555555555,1307.7166912005232,608.423600608801,1022.1120019080319,759.8008693803339,165.59446783566707,1.8995149417173531,1.435722618294885,1.527200553936584
tomato_0072,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,15,6,1756.3333333333333,1360.6666666666667,694.6666666666666,1470.3333333333333,275.5,1881.1666666666667,10153.333333333334,705.5,461.40249963200966,172.39218853146065,348.8837437695638,133.4805853548248,42.11294337849113,2.1166026566707874,1.2907888195189454,1.3825330618628144
tomato_0073,1,Pomodoro Giallo-Verde,0,02_pomodoro_giallo_verde.csv,33,8,3115.875,2496.875,1580.0,2509.375,689.25,3250.75,9134.5,993.25,1178.5245542626594,620.3206544084392,934.1902433200027,338.86491198031786,45.162405351606964,1.588212015264481,1.247909882361312,1.3019274040473494
tomato_0074,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,33,8,3370.625,2417.125,1020.875,2194.875,388.375,3574.0,9098.0,615.875,1713.1500591016538,574.096915038866,1108.0463421845548,3700.2265953780256,259.49975915210405,2.1499938567406014,1.3944769037824816,1.4786161184108553
tomato_0075,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,24,5,1532.2,1110.8,502.2,940.6,186.0,1618.0,9991.2,860.6,251.50487072818294,76.10321937999733,162.64931601454708,307.1444285674086,66.88273319773946,1.8729589431907818,1.3793662101245392,1.4566078370849134
tomato_0076,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,30,7,3326.5714285714284,2358.8571428571427,716.2857142857143,2718.8571428571427,289.42857142857144,3691.285714285714,9606.142857142857,302.14285714285717,1646.7135813636867,369.3005615510282,1373.1108754177417,4241.730363447266,149.5275098116604,3.79577178585879,1.4102470870447374,1.5648619119706677
tomato_0077,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,30,7,1837.5714285714287,1260.142857142857,454.7142857142857,1187.857142857143,125.85714285714286,1977.857142857143,9555.714285714286,540.5714285714286,924.2809560486929,220.10809032966378,591.0785138404284,4216.245909743474,238.70613533719458,2.6123153682494267,1.4582246795062095,1.5695499251934595
tomato_0078,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,33,7,3871.1428571428573,2847.285714285714,691.4285714285714,3623.5714285714284,325.2857142857143,4329.571428571428,9779.285714285714,183.28571428571428,1836.8575909753617,348.6071605417083,1744.7982554957327,4317.413489358558,81.86719791979014,5.24070240354356,1.359590582751927,1.5205960510540502
tomato_0079,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,21,3,1246.3333333333333,896.0,219.0,1003.0,68.33333333333333,1383.3333333333333,7767.333333333333,208.0,1080.9580627079542,188.83590760234136,868.7732730695622,6726.75080059707,180.13328398716322,4.5799084666708465,1.3909970082850036,1.5438987922927963
tomato_0080,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,6,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,0.9999900000999989,0.9999900000999989
tomato_0081,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,33,8,3501.875,2455.625,883.125,2617.75,319.625,3838.625,9628.5,455.25,1746.0812808359508,460.37886183943266,1413.6212616640184,3896.8175660219385,205.22583379570628,2.964189633809601,1.4260626055441583,1.5631967358078014
tomato_0082,2,Pomodoro Arancio-Giallo,0,03_pomodoro_arancio_giallo.csv,10,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999900000999989,0.9999900000999989,0.9999900000999989
